CHAMADO,ID DETENTORA,SITE,STATUS,VALIDADE,ENDEREÇO,CLUSTER,SUPERVISOR
427964,TCMGMCL0013,MGMCL81,Aguardando Aprovação,17/10/2026,RODOVIA BR 365 KM 18- S/N,NORTE,Paulo De Freitas Pereira
417121,TCMGSAA0001,MGSAAR2,Liberado,22/09/2026,RODOVIA BR 381 SN,SUL,Adriano Francisco de Paula
428057,TCMGENC0001,MGENCR1,Aguardando Aprovação,17/11/2026,RODOVIA BR116- SN,LESTE,Paulo De Freitas Pereira
417109,TCMGPOU0003,MGPOAR2,Liberado,22/09/2026,RODOVIA BR459 KM116 SN,SUL,Adriano Francisco de Paula
427804,TCMGFAM0002,MGFAMR1,Aguardando Aprovação,07/10/2026,RODOVIA BR491 SN,SUL,Adriano Francisco de Paula
427805,TCMGGRN0001,MGGRNR1,Aguardando Aprovação,07/10/2026,RODOVIA BR491 SN,SUL,Adriano Francisco de Paula
417086,TCMGITP0001,MGITP01,Liberado,22/09/2026,RODOVIA FERNAO DIAS   KM 873- SN,SUL,Adriano Francisco de Paula
427572,TCMGBET0008,MGBETR1,Aguardando Aprovação,07/10/2026,RODOVIA FERNAO DIAS SN,BH,Renato Parreiras
417038,TCMGCAR0001,MGCAR01,Liberado,22/09/2026,RODOVIA FERNAO DIAS SN,SUL,Adriano Francisco de Paula
417137,TCMGTCO0001,MGTCOR1,Liberado,22/09/2026,RODOVIA FERNAO DIAS- SN,SUL,Adriano Francisco de Paula
427659,TCMGLTA0001,MGLGS02,Aguardando Aprovação,07/10/2026,RODOVIA MG 10 KM 30,BH,Rafael Porto Alves da Cruz
427697,TCMGBDP0002,MGBDP03,Aguardando Aprovação,07/10/2026,RODOVIA MG 164- SN,METROPOLITANO,Leandro de Menezes Assunção
427811,TCMGSJA0001,MGSJAR1,Aguardando Aprovação,07/10/2026,RODOVIA MG 347 SN,SUL,Adriano Francisco de Paula
417153,TCMGBBC0006,MGBBCR3,Liberado,22/09/2026,RODOVIA MG 60- SN,ZONA DA MATA,André Valério de Paiva
427802,TCMGCRC0001,MGCRCR2,Aguardando Aprovação,07/10/2026,RODOVIA MG050 SN,SUL,Adriano Francisco de Paula
427655,TCMGITO0001,MGITOR2,Aguardando Aprovação,07/10/2026,RODOVIA MG443 SN,BH,Renato Parreiras
427977,TCMGJNB0001,MGJNBR1,Aguardando Aprovação,17/11/2026,RODOVIA MGT 122 SN,NORTE,Paulo De Freitas Pereira
427715,TCMGDIV0010,MGDIV20,Aguardando Aprovação,07/10/2026,RODOVIA SANTO ANTONIO DOS CAMPOS SN,METROPOLITANO,Leandro de Menezes Assunção
428097,TEMGIPG0002,MGIPG09,Aguardando Aprovação,17/11/2026,RUA  BÁRBARA HELIODORA-,LESTE,Paulo De Freitas Pereira
427632,TCMGBHO0074,MGBRT24,Aguardando Aprovação,07/10/2026,RUA  DOUTOR ORESTES DINIZ 101,BH,Renato Parreiras
427900,TCMGMCL0008,MGMCLR2,Aguardando Aprovação,09/10/2026,RUA 13- SN,NORTE,Paulo De Freitas Pereira
427939,TCMGUBE0004,MGULA39,Aguardando Aprovação,18/10/2026,RUA 16 SN,OESTE,Arthur Gomes de Paulo
428009,TCMGCFB0001,MGCFB03,Aguardando Aprovação,17/10/2026,RUA 6 SN,LESTE,Paulo De Freitas Pereira
427679,TCMGSBR0002,MGSBR02,Aguardando Aprovação,07/10/2026,RUA 6- SN,BH,Rafael Porto Alves da Cruz
427758,TCMGNVS0001,MGNVS01,Aguardando Aprovação,07/10/2026,RUA ADELBAR PINTO DA FONSECA SN,METROPOLITANO,Leandro de Menezes Assunção
327095,TEMGJZF0003,MGJZF15,Liberado,31/03/2026,RUA ADEMIR PEDRETI DOS SANTOS,ZONA DA MATA,André Valério de Paiva
427575,TCMGBHO0004,MGBEL13,Aguardando Aprovação,07/10/2026,RUA AFONSO COSTA REIS- 65,BH,Renato Parreiras
428002,TCMGAPT0001,MGAPTR1,Aguardando Aprovação,17/10/2026,RUA AFONSO PENA- 2497,LESTE,Paulo De Freitas Pereira
427966,TCMGMZL0001,MGMZL01,Aguardando Aprovação,17/10/2026,RUA ALBERTO PATRICIO 83,NORTE,Paulo De Freitas Pereira
427605,TCMGBHO0048,MGPAM13,Aguardando Aprovação,07/10/2026,RUA ALICE MAGALHAES LOPES- 33,BH,Rafael Porto Alves da Cruz
428066,TCMGINH0001,MGINH02,Aguardando Aprovação,17/11/2026,RUA AMILCAR DE OLIVEIRA SILVA- SN,LESTE,Paulo De Freitas Pereira
427698,TCMGBDP0003,MGBDP04,Aguardando Aprovação,07/10/2026,RUA ANA ISMENIA DE RESENDE 123,METROPOLITANO,Leandro de Menezes Assunção
417092,TCMGMCH0001,MGMCH02,Liberado,22/09/2026,RUA ANTENOR HOLANDA CAVALCANTE SN,SUL,Adriano Francisco de Paula
